YMR056C,AAC1,927
YBR085W,AAC3,921
YJR155W,AAD10,864
YNL331C,AAD14,1128
YOL165C,AAD15,429
YPL088W,AAD16,1026
YCR107W,AAD3,1089
YDL243C,AAD4,987
YFL056C,AAD6,636
YNL141W,AAH1,1041
YHR047C,AAP1,2568
YBL074C,AAR2,1065
YKL106W,AAT1,1353
YLR027C,AAT2; ASP5,1254
YBR236C,ABD1,1308
YKL112W,ABF1; BAF1; OBF1; REB2; SBF1,2193
YMR072W,ABF2; HIM1,549
YJR108W,ABM1,369
YCR088W,ABP1,1776
YOR239W,ABP140; TRM140,1884
YNR033W,ABZ1,2361
YMR289W,ABZ2,1122
YER045C,ACA1,1467
YGR037C,ACB1; ACB,261
YNR016C,ACC1; ABP2; FAS3; MTR7,6699
YLR131C,ACE2,2310
YLR144C,ACF2; ENG2; PCA1,2337
YJR083C,ACF4,927
YBL015W,ACH1,1578
YDL203C,ACK1,1869
YDR161W,ACL4,1161
YPL267W,ACM1,627
YLR304C,ACO1; GLU1,2334
YJL200C,ACO2,2367
YKL192C,ACP1,375
YAL054C,ACS1,2139
YLR153C,ACS2,2049
YFL039C,ACT1; ABY1; END7,1125
YDR448W,ADA2,1302
YMR184W,ADD37,594
YKL206C,ADD66; PBA2; POC2,801
YAR015W,ADE1,918
YNL220W,ADE12,1299
YLR359W,ADE13,1446
YLR028C,ADE16,1773
YMR120C,ADE17,1776
YOR128C,ADE2,1713
YGR204W,ADE3,2838
YMR300C,ADE4,1530
YGL234W,"ADE5,7",2406
YGR061C,ADE6,4074
YDR408C,ADE8,642
YCL058W-A,ADF1,339
YOL086C,ADH1; ADC1,1044
YMR303C,ADH2; ADR2,1044
YMR083W,ADH3,1125
YGL256W,ADH4; ZRG5,1146
YBR145W,ADH5,1053
YMR318C,ADH6,1080
YCR105W,ADH7,1083
YMR009W,ADI1,537
YDR226W,ADK1; AKY; AKY1; AKY2,666
YER170W,ADK2; AKY3; PAK3,675
YJR105W,ADO1,1020
YCR011C,ADP1,3147
YDR216W,ADR1,3969
YCR010C,ADY2; ATO1,849
YDL239C,ADY3,2370
YLR227C,ADY4,1479
YMR064W,AEP1; NCA1,1554
YMR282C,AEP2; ATP13,1740
YPL005W,AEP3,1818
YEL052W,AFG1; AFG,1527
YLR397C,AFG2; DRG1,2340
YER017C,AFG3; YTA10,2283
YOR129C,AFI1,2679
YDR085C,AFR1,1860
YGL071W,AFT1; RCS1,2070
YPL202C,AFT2,1248
YNR044W,AGA1,2175
YGL032C,AGA2,261
YPR021C,AGC1,2706
YDR524C,AGE1; SAT1,1446
YIL044C,AGE2,894
YCL025C,AGP1,1899
YBR132C,AGP2,1788
YFL055W,AGP3,1674
YFL030W,AGX1,1155
YDR214W,AHA1,1050
YOR023C,AHC1,1698
YCR082W,AHC2,384
YLR109W,AHP1,528
YHR093W,AHT1,546
Q0050,AI1,2502
Q0055,AI2,2562
Q0060,AI3; ENS3; I-SCEIII,1245
Q0065,AI4; ENS2; I-SCEII,1668
Q0070,AI5_ALPHA; I-SCEIV,1890
Q0075,AI5_BETA,1062
YNR074C,AIF1; CPD1,1134
YER087W,AIM10,1728
YER093C-A,AIM11; GEP8,411
YGL160W,AIM14,1710
YHL021C,AIM17; FMP12,1395
YHR198C,AIM18; FMP22,963
YIL087C,AIM19,471
YAL049C,AIM2,738
YIL158W,AIM20,612
YIR003W,AIM21,2037
YJL046W,AIM22,1227
YJL131C,AIM23,1068
YJR080C,AIM24; FMP26,1182
YJR100C,AIM25,981
YKL037W,AIM26,354
YKR074W,AIM29,465
YBR108W,AIM3,2841
YML050W,AIM32,933
YML087C,AIM33,936
YMR003W,AIM34,594
YMR157C,AIM36; FMP39,765
YOL053W,AIM39,1185
YOR215C,AIM41,555
YPL158C,AIM44,2274
YPR004C,AIM45,1032
YHR199C,AIM46; FMP34,930
YBR194W,AIM4; SOY1,369
YDL237W,AIM6,1170
YDR063W,AIM7,447
YER080W,AIM9; FMP29,1881
YMR092C,AIP1,1845
YIL079C,AIR1,1080
YDL175C,AIR2,1032
YBR059C,AKL1,3324
YDR264C,AKR1,2292
YOR034C,AKR2,2247
YOR335C,ALA1; CDC64,2949
YJL122W,ALB1,525
YMR170C,ALD2; ALD5,1518
YMR169C,ALD3; ALD4,1518
YOR374W,ALD4; ALD7; ALDH2,1557
YER073W,ALD5; ALD3; ALDH5,1560
YPL061W,ALD6; ALDH1,1500
YOR175C,ALE1; LCA1; LPT1; SLC4,1857
YNL148C,ALF1,762
YBR110W,ALG1,1347
YNL048W,ALG11,1644
YNR030W,ALG12; ECM39,1653
YGL047W,ALG13,606
YBR070C,ALG14,711
YGL065C,ALG2,1509
YBL082C,ALG3; RHK1,1374
YPL227C,ALG5,1002
YOR002W,ALG6,1632
YBR243C,ALG7; TUR1,1344
YOR067C,ALG8,1731
YNL219C,ALG9,1665
YGL021W,ALK1,2280
YBL009W,ALK2,2028
YML086C,ALO1,1578
YNL270C,ALP1,1719
YOL130W,ALR1,2577
YFL050C,ALR2,2574
YLR089C,ALT1,1776
YDR111C,ALT2,1521
YKR021W,ALY1; ART6,2745
YJL084C,ALY2; ART3,3138
YGR225W,AMA1; SPO70,1779
YML035C,AMD1; AMD,2430
YDR242W,AMD2; AMDY; AMDY1,1647
YBR211C,AME1; ARP100,972
YBR158W,AMN1; CST13; ICS4,1647
YGL156W,AMS1,3249
YJR047C,ANB1; HYP1; TIF51B,471
YEL036C,ANP1; GEM3,1500
YKL047W,ANR2,1548
YHR126C,ANS1,477
YPR128C,ANT1,984
YPR180W,AOS1; RHC31,1041
YCL050C,APA1; DTP,963
YDR530C,APA2,975
YNL172W,APC1,5244
YDL008W,APC11,495
YLR127C,APC2; RSI1,2559
YDR118W,APC4,1956
YOR249C,APC5; RMC1,2055
YLR102C,APC9,795
YBR151W,APD1,948
YKL103C,APE1; API; LAP4; YSC1,1542
YKL157W,APE2; LAP1,2856
YBR286W,APE3,1611
YHR113W,APE4,1470
YDR525W,API2,327
YNL077W,APJ1,1584
YJR005W,APL1; YAP80,2100
YKL135C,APL2,2178
YBL037W,APL3,3075
YPR029C,APL4,2496
YPL195W,APL5; YKS4,2796
YGR261C,APL6; YKS5,2427
YPL259C,APM1; YAP54,1425
YHL019C,APM2,1815
YBR288C,APM3; YKS6,1449
YOL062C,APM4; AMP1,1473
YKL114C,APN1,1101
YBL019W,APN2; ETH1,1560
YNL094W,APP1,1761
YIL040W,APQ12,414
YJL075C,APQ13,414
YLR170C,APS1; YAP19,468
YJR058C,APS2; YAP17,441
YJL024C,APS3; YKS7,582
YML022W,APT1,561
YDR441C,APT2,543
YNL065W,AQR1,1758
YPR192W,AQY1; AQY1-2,915
YLL052C,AQY2; AQY2-2,447
YBR149W,ARA1,1032
YMR041C,ARA2,1005
YER036C,ARB1,1830
YIL062C,ARC15,462
YLR370C,ARC18,534
YKL013C,ARC19,513
YGL105W,ARC1; G4P1,1128
YNR035C,ARC35,1026
YBR234C,ARC40,1152
YHR013C,ARD1,714
YCR048W,ARE1; SAT2,1830
YNR019W,ARE2; SAT1,1926
YDL192W,ARF1,543
YDL137W,ARF2,543
YOR094W,ARF3,549
YOL058W,ARG1,1260
YJL071W,ARG2,1722
YJL088W,ARG3,1014
YHR018C,ARG4,1389
YER069W,"ARG5,6",2589
YMR062C,ARG7; ECM40,1323
YOL140W,ARG8,1269
YMR042W,ARG80; ARGR1,531
YML099C,ARG81; ARGR2,2640
YDR173C,ARG82; ARGR3; IPK2,1065
YDR376W,ARH1,1479
YGL157W,ARI1,1041
YNL020C,ARK1,1914
YBR164C,ARL1; ARF3,549
YPL051W,ARL3; ARP1,594
YHL040C,ARN1,1881
YHL047C,ARN2; TAF1,1860
YDR380W,ARO10,1905
YDR127W,ARO1; AROM,4764
YGL148W,ARO2,1128
YDR035W,ARO3,1110
YBR249C,ARO4,1110
YPR060C,ARO7; OSM2,768
YGL202W,ARO8,1500
YDR421W,ARO80,2850
YHR137W,ARO9,1539
YDR106W,ARP10,852
YHR129C,ARP1; ACT3; ACT5,1152
YDL029W,ARP2; ACT2,1173
YJR065C,ARP3; ACT4,1347
YJL081C,ARP4; ACT3,1467
YNL059C,ARP5,2265
YLR085C,ARP6,1314
YPR034W,ARP7; SWP61,1431
YOR141C,ARP8,2643
YMR033W,ARP9; SWP59,1401
YPR199C,ARR1; ACR1; YAP8,882
YPR200C,ARR2; ACR2,390
YPR201W,ARR3; ACR3,1212
YLR392C,ART10,1554
YLR154W-A,ART2,183
YLR154W-E,ART3,201
YGR068C,ART5,1758
YLR242C,ARV1,963
YDR101C,ARX1,1779
YPR085C,ASA1,1329
YMR116C,ASC1; CPC2,957
YOR058C,ASE1,2655
YJL115W,ASF1; CIA1,837
YDL197C,ASF2,1575
YIL130W,ASG1,2892
YJL170C,ASG7,627
YKL185W,ASH1,1764
YMR119W,ASI1,1872
YNL159C,ASI2,867
YNL008C,ASI3,2028
YKL052C,ASK1,876
YGR097W,ASK10; RGC2,3438
YDL088C,ASM4; NUP59,1584
YPR145W,ASN1,1716
YGR124W,ASN2,1716
YDR321W,ASP1,1143
YLR155C,ASP3-1,1086
YLR157C,ASP3-2,1086
YLR158C,ASP3-3,1086
YLR160C,ASP3-4,1086
YPR093C,ASR1,864
YBL069W,AST1,1287
YER101C,AST2,1290
YDR184C,ATC1; LIC4,882
YGL017W,ATE1,1509
YOR377W,ATF1,1575
YGR177C,ATF2,1605
YLL042C,ATG10; APG10,501
YPR049C,ATG11; CVT9,3534
YBR217W,ATG12; APG12,558
YPR185W,ATG13; APG13,2214
YBR128C,ATG14; APG14; CVT12,1032
YCR068W,ATG15; AUT5; CVT17,1560
YMR159C,ATG16; APG15; APG16; CVT11; SAP18,450
YLR423C,ATG17; APG17,1251
YFR021W,ATG18; AUT10; CVT18; NMR1; SVP1,1500
YOL082W,ATG19; CVT19,1245
YGL180W,ATG1; APG1; AUT3; CVT10,2691
YDL113C,ATG20; CVT20; SNX42,1920
YPL100W,ATG21; CVT21; HSV1; MAI1,1488
YCL038C,ATG22; AUT4,1584
YLR431C,ATG23; CVT23,1359
YLR189C,ATG26; UGT51,3594
YJL178C,ATG27; ETF1,813
YPL166W,ATG29,639
YNL242W,ATG2; APG2; AUT8; SPO72,4776
YDR022C,ATG31; CIS1,588
YIL146C,ATG32; ECM17,1587
YLR356W,ATG33,591
YOL083W,ATG34; ATG19-B,1236
YJL185C,ATG36,879
YLR211C,ATG38,678
YLR312C,ATG39,1194
YNR007C,ATG3; APG3; AUT1,930
YOR152C,ATG40,768
YPL250C,ATG41; ICY2,408
YNL223W,ATG4; APG4; AUT2,1482
YPL149W,ATG5; APG5,882
YHR171W,ATG7; APG7; CVT2,1890
YBL078C,ATG8; APG8; AUT7; CVT5,351
YDL149W,ATG9; APG9; AUT9; CVT7,2991
YPR026W,ATH1,3633
YMR301C,ATM1; MDY,2070
YNR002C,ATO2; FUN34,846
YDR384C,ATO3,825
YBL099W,ATP1,1635
YLR393W,ATP10,837
